Date,Price,Open,High,Low,Vol.,Change %,,,,,,
03-06-2025,"3,438.60","3,395.00","3,478.30","3,390.00",3.69M,1.60%,,,,,,
02-06-2025,"3,384.50","3,469.90","3,493.70","3,377.00",3.16M,-2.69%,,,,,,
30-05-2025,"3,478.20","3,470.00","3,594.00","3,426.10",10.05M,-7.28%,,,,,,
29-05-2025,"3,751.20","3,695.00","3,775.00","3,681.00",4.26M,2.38%,,,,,,
28-05-2025,"3,663.90","3,659.00","3,698.40","3,621.50",4.11M,1.13%,,,,,,
27-05-2025,"3,623.10","3,570.00","3,684.40","3,555.00",5.30M,2.05%,,,,,,
26-05-2025,"3,550.20","3,524.00","3,609.70","3,508.00",4.21M,1.37%,,,,,,
23-05-2025,"3,502.30","3,520.00","3,564.00","3,451.00",4.24M,0.07%,,,,,,
22-05-2025,"3,500.00","3,423.60","3,524.50","3,390.00",6.31M,2.59%,,,,,,
21-05-2025,"3,411.50","3,335.00","3,429.00","3,285.00",5.11M,2.44%,,,,,,
20-05-2025,"3,330.30","3,450.00","3,478.00","3,287.20",6.79M,-2.33%,,,,,,
19-05-2025,"3,409.90","3,559.80","3,733.00","3,378.00",8.38M,-3.19%,,,,,,
16-05-2025,"3,522.40","3,200.00","3,578.00","3,186.00",16.56M,10.68%,,,,,,
15-05-2025,"3,182.40","3,106.80","3,217.80","3,084.20",7.00M,3.39%,,,,,,
14-05-2025,"3,078.20","3,099.00","3,230.00","3,038.00",11.53M,2.52%,,,,,,
13-05-2025,"3,002.60","2,915.70","3,032.00","2,911.00",5.34M,3.38%,,,,,,
12-05-2025,"2,904.40","3,024.90","3,045.00","2,866.10",5.71M,-0.60%,,,,,,
09-05-2025,"2,922.00","2,817.00","2,963.50","2,776.50",9.80M,3.62%,,,,,,
08-05-2025,"2,819.90","2,860.00","2,920.00","2,803.30",4.66M,0.13%,,,,,,
07-05-2025,"2,816.20","2,938.30","3,108.00","2,786.30",9.30M,-5.26%,,,,,,
06-05-2025,"2,972.60","3,110.00","3,148.40","2,930.00",4.37M,-4.09%,,,,,,
05-05-2025,"3,099.50","3,024.10","3,128.00","2,964.60",4.77M,3.43%,,,,,,
02-05-2025,"2,996.60","3,075.00","3,172.00","2,981.00",7.82M,-2.00%,,,,,,
30-04-2025,"3,057.60","3,073.70","3,150.00","2,955.00",9.53M,0.98%,,,,,,
29-04-2025,"3,027.90","2,817.90","3,048.30","2,817.90",13.65M,8.67%,,,,,,
28-04-2025,"2,786.30","2,649.90","2,815.00","2,646.10",5.35M,4.70%,,,,,,
25-04-2025,"2,661.10","2,727.00","2,745.70","2,585.00",3.52M,-2.08%,,,,,,
24-04-2025,"2,717.70","2,778.00","2,850.00","2,704.10",3.14M,-1.74%,,,,,,
23-04-2025,"2,765.90","2,780.00","2,829.00","2,713.20",2.26M,0.38%,,,,,,
22-04-2025,"2,755.40","2,780.00","2,820.00","2,750.00",2.23M,-0.33%,,,,,,
21-04-2025,"2,764.60","2,727.50","2,805.00","2,710.30",3.30M,1.99%,,,,,,
17-04-2025,"2,710.60","2,731.90","2,814.80","2,695.00",4.15M,-0.78%,,,,,,
16-04-2025,"2,731.90","2,664.70","2,744.00","2,620.80",5.29M,2.65%,,,,,,
15-04-2025,"2,661.30","2,490.00","2,697.70","2,473.00",7.67M,9.40%,,,,,,
11-04-2025,"2,432.55","2,443.75","2,473.00","2,403.00",2.22M,2.59%,,,,,,
09-04-2025,"2,371.20","2,365.00","2,397.00","2,288.00",2.50M,0.53%,,,,,,
08-04-2025,"2,358.70","2,410.00","2,447.55","2,342.00",3.42M,1.79%,,,,,,
07-04-2025,"2,317.30","2,221.05","2,373.65","2,200.00",4.10M,-8.85%,,,,,,
04-04-2025,"2,542.20","2,575.00","2,594.30","2,537.00",4.81M,-7.14%,,,,,,
03-04-2025,"2,737.55","2,569.95","2,753.45","2,554.35",4.66M,5.13%,,,,,,
02-04-2025,"2,603.95","2,585.00","2,610.00","2,520.30",1.78M,0.99%,,,,,,
01-04-2025,"2,578.55","2,634.00","2,685.00","2,570.00",2.04M,-2.47%,,,,,,
28-03-2025,"2,643.80","2,724.00","2,752.00","2,633.70",3.03M,-1.91%,,,,,,
27-03-2025,"2,695.35","2,642.00","2,719.00","2,625.30",4.41M,1.97%,,,,,,
26-03-2025,"2,643.15","2,620.05","2,722.00","2,601.00",6.88M,1.10%,,,,,,
25-03-2025,"2,614.50","2,681.15","2,689.00","2,588.40",2.35M,-1.52%,,,,,,
24-03-2025,"2,654.80","2,614.75","2,711.65","2,605.50",5.28M,2.45%,,,,,,
